Date,axis,hcl,hdfc,icici,indus,infy,kotak,sbi,techm,wipro,yes,tcs
2013-12-30,257.250000,623.349976,669.500000,199.399994,417.549988,875.588013,365.899994,176.460007,461.774994,275.774994,73.699997,2156.050049
2013-12-31,259.910004,631.275024,665.849976,199.772995,420.700012,871.411987,364.125000,176.649994,459.462006,279.600006,74.040001,2172.050049
2014-01-01,258.440002,629.250000,665.150024,199.582001,423.350006,867.000000,361.274994,176.505005,457.024994,276.350006,74.889999,2153.300049
2014-01-07,246.850006,628.174988,664.400024,190.908997,418.850006,864.286987,354.075012,166.139999,451.013000,275.100006,73.029999,2390.75
2014-01-08,242.350006,623.200012,664.700012,191.690994,421.899994,857.025024,356.450012,165.714996,460.149994,273.575012,71.279999,2516.399902
2014-01-09,236.970001,642.625000,662.950012,191.063995,416.799988,862.700012,355.075012,163.979996,457.263000,270.450012,70.029999,2537.149902
2014-01-10,232.809998,649.099976,662.049988,186.272995,405.899994,887.812012,350.225006,160.815002,469.725006,276.674988,68.599998,2775.600098
2014-01-13,236.979996,671.674988,672.849976,191.800003,413.100006,916.250000,358.450012,164.125000,471.125000,280.725006,67.750000,2368.75
2014-01-14,235.410004,660.500000,672.299988,188.445007,418.850006,921.687988,355.649994,162.750000,473.312012,276.799988,69.320000,2326.75
2014-01-15,235.660004,665.174988,680.549988,192.427002,424.950012,928.013000,364.575012,164.070007,471.013000,280.350006,70.610001,2353.600098
2014-01-16,235.229996,695.349976,673.049988,192.526993,428.700012,931.263000,365.725006,163.619995,466.562012,285.774994,71.309998,2350.300049
2014-01-17,230.589996,689.825012,665.000000,188.100006,423.350006,932.437988,363.549988,162.154999,443.812012,276.350006,70.230003,2213.050049
2014-01-20,232.639999,715.299988,670.049988,189.817993,433.600006,937.325012,364.075012,164.184998,457.174988,286.524994,71.879997,2338.199951
2014-01-21,237.710007,720.075012,676.099976,196.009003,433.799988,939.588013,353.149994,165.949997,457.162994,285.774994,72.639999,2280.300049
2014-01-22,237.770004,722.375000,677.099976,197.809006,434.250000,941.474976,355.149994,164.684998,460.537994,288.975006,72.290001,2274.050049
2014-01-23,243.199997,705.849976,679.500000,196.264008,429.700012,948.125000,352.649994,165.830002,457.662994,289.250000,71.500000,2252.449951
2014-01-24,240.919998,705.924988,673.400024,192.399994,414.750000,939.536987,342.375000,162.119995,448.388000,286.424988,69.610001,2248.699951
2014-01-27,232.220001,712.250000,649.200012,183.600006,395.299988,933.049988,329.049988,159.449997,440.062012,285.274994,64.330002,2229.600098
2014-01-28,224.350006,706.224976,644.450012,185.209000,389.850006,918.775024,329.899994,159.630005,434.687988,283.799988,64.980003,2212.350098
2014-01-29,228.050003,711.150024,645.450012,182.072998,380.299988,929.450012,332.000000,157.365005,437.388000,285.750000,64.160004,2209.800049
2014-01-30,221.759995,717.099976,631.799988,177.190994,378.450012,926.062012,325.024994,151.660004,429.575012,285.600006,61.270000,2217.600098
2014-01-31,224.589996,731.099976,628.500000,179.582001,383.799988,925.275024,328.524994,152.384995,446.737000,287.524994,61.529999,2241.050049
2014-02-04,224.360001,700.950012,630.599976,176.117996,387.899994,890.275024,332.649994,151.539993,442.712006,277.825012,60.680000,2172.25
2014-02-05,224.740005,696.825012,637.450012,175.682007,394.500000,895.312012,333.750000,152.169998,459.962006,280.200012,60.610001,2208.449951
2014-02-06,220.589996,704.349976,647.000000,174.190994,390.649994,890.924988,330.250000,150.485001,461.375000,284.274994,61.000000,2129.850098
2014-02-07,225.089996,700.025024,647.750000,174.626999,388.649994,891.638000,329.424988,152.759995,455.787994,280.825012,61.779999,2401.600098
2014-02-12,223.919998,745.400024,645.450012,181.673004,385.450012,900.025024,324.774994,153.250000,468.912994,281.225006,60.619999,2657.300049
2014-02-13,220.300003,744.599976,632.500000,178.835999,373.950012,896.450012,318.399994,150.054993,453.450012,277.600006,58.970001,2133.75
2014-02-14,220.610001,748.674988,641.799988,179.718002,376.899994,911.075012,323.225006,147.509995,457.962006,281.899994,60.130001,2167.899902
